ID	CURIS	CORPUS_NAME	TERMS QUERY
1	obo.MONDO_0018076	tuberculosis	tuberculosis disease	tuberculosis OR tuberculosis disease
2	obo.MONDO_0044345	Schistosoma mansoni infectious disease	"Schistosoma mansoni caused disease or disorder" | "Schistosoma mansoni disease or disorder" | "Schistosoma mansoni infection"	Schistosoma mansoni infection
3	obo.MONDO_0005229	bacterial infectious disease with sepsis	symptomatic bacteremia	symptomatic bacteremia
4	obo.MONDO_0000222	seminal vesicle acute gonorrhea	"acute gonococcal seminal vesiculitis" | "gonococcal seminal vesiculitis, acute"	
5	obo.MONDO_0001027	gonococcal seminal vesiculitis	"gonococcal seminal vesiculitis (acute)" | "gonorrhea of seminal vesicle" | "seminal vesicle gonorrhea"	
6	obo.MONDO_0000225	human monocytic ehrlichiosis	human ehrlichiosis due to Ehrlichia chaffeensis	human monocytic ehrlichiosis OR human ehrlichiosis due to Ehrlichia chaffeensis
7	obo.MONDO_0001195	spotted fever	"spotted fever" | "spotted fever group rickettsial disease" | "spotted fever rickettsiae disease" | "spotted fever rickettsiosis"	spotted fever OR spotted fever OR spotted fever group rickettsial disease OR spotted fever rickettsiosis
8	obo.MONDO_0000231	Far eastern spotted fever	Rickettsia heilongjiangensis spotted fever	Far eastern spotted fever
9	obo.MONDO_0000232	Flinders island spotted fever	Thai tick typhus	Flinders island spotted fever OR Thai tick typhus
10	obo.MONDO_0000233	Japanese spotted fever	"Japanese spotted fever" | "Rickettsia japonica spotted fever"	Japanese spotted fever OR Japanese spotted fever
11	obo.MONDO_0000236	oropharyngeal anthrax	oropharynx anthrax infection	oropharyngeal anthrax
12	obo.MONDO_0005119	anthrax infection	"Bacillus anthracis caused disease or disorder" | "Bacillus anthracis disease or disorder" | "Bacillus anthracis infectious disease" | "anthrax"	anthrax infection OR anthrax
13	obo.MONDO_0043424	digestive system infectious disorder	"digestive system infection" | "gastrointestinal infection" | "gastrointestinal system infection"	gastrointestinal infection OR gastrointestinal system infection
14	obo.MONDO_0006752	Erysipelothrix rhusiopathiae infectious disease	"Erysipelothrix rhusiopathiae caused disease or disorder" | "Erysipelothrix rhusiopathiae disease or disorder"	
15	obo.MONDO_0000239	adiaspiromycosis	"adiaspiromycosis" | "adiaspirosis" | "haplosporangiosis" | "pulmonary adiaspiromycosis"	adiaspiromycosis OR adiaspiromycosis OR pulmonary adiaspiromycosis
16	obo.MONDO_0005766	fungal lung infectious disease	"Fungi caused lung disease" | "Fungi lung disease"	
17	obo.MONDO_0000266	pulmonary aspergilloma	lung aspergillosis	pulmonary aspergilloma OR lung aspergillosis
18	obo.MONDO_0000242	tinea barbae	"beard dermatophytosis" | "dermatophytosis of beard"	tinea barbae
19	obo.MONDO_0004678	dermatophytosis	"fungal skin disease" | "fungal skin diseases" | "skin disease, fungal" | "skin diseases, fungal"	dermatophytosis OR fungal skin disease OR fungal skin diseases OR ("skin disease" AND " fungal") OR ("skin diseases" AND " fungal")
20	obo.MONDO_0000253	piedra	hair shaft fungal infectious disease	piedra
21	obo.MONDO_0001461	tinea corporis	"dermatophytosis of the body" | "dermatophytosis of the trunk"	tinea corporis
22	obo.MONDO_0000248	dengue shock syndrome		dengue shock syndrome
23	obo.MONDO_0005358	Dengue hemorrhagic fever		Dengue hemorrhagic fever
24	obo.MONDO_0002041	fungal infectious disease	"Fungi caused disease or disorder" | "Fungi disease or disorder" | "Fungi infection" | "Fungi infectious disease" | "mycosis"	fungal infectious disease OR Fungi infection OR mycosis
25	obo.MONDO_0024268	superficial mycosis	"steroid-modified tinea infection" | "stratum corneum of epidermis fungal infectious disease"	superficial mycosis
26	obo.MONDO_0000255	subcutaneous mycosis	subcutaneous mycosis	subcutaneous mycosis OR subcutaneous mycosis
27	obo.MONDO_0005502	dengue disease	"Dengue" | "Dengue fever" | "Dengue virus caused disease or disorder" | "Dengue virus disease or disorder" | "Dengue virus infection" | "Dengue virus infectious disease" | "break bone fever" | "breakbone fever" | "classic dengue"	dengue disease OR Dengue OR Dengue fever OR Dengue virus infection OR break bone fever OR breakbone fever OR classic dengue
28	obo.MONDO_0000262	otomycosis	external ear fungal infectious disease	otomycosis
29	obo.MONDO_0004795	otitis externa	"external Ear infection" | "infectious otitis externa" | "otitis externa" | "outer Ear infection" | "swimmer's Ear" | "swimmer's ear"	otitis externa OR external Ear infection OR infectious otitis externa OR otitis externa OR swimmer's Ear OR swimmer's ear
30	obo.MONDO_0005982	tinea infection	"Tinea" | "Tinea caused disease or disorder" | "Tinea disease or disorder" | "Tinea infection" | "Tinea infectious disease"	tinea infection OR Tinea infection
31	obo.MONDO_0005990	tracheitis	"acute tracheitis" | "chronic tracheitis" | "inflammation of tracheal mucosa" | "tracheal Inflammation" | "tracheal mucosa inflammation"	tracheitis OR acute tracheitis OR chronic tracheitis OR tracheal Inflammation
32	obo.MONDO_0005657	aspergillosis	infection due to Aspergillus	aspergillosis OR infection due to Aspergillus
33	obo.MONDO_0006002	urogenital tuberculosis	genitourinary system tuberculosis	urogenital tuberculosis
34	obo.MONDO_0000273	Kunjin virus infectous disease	Kunjin encephalitis	Kunjin encephalitis
