ID	ORG_ID	CORPUS_NAME	CURIS	MONOGENIC	DESCRIPTION	TERMS	ABBREVS	NOTES	TWITTER
1	1	Adult Polyglucosan Body Disease	MONDO:0009897	x	Adult Polyglucosan Body Disease (APBD), also called Glycogen Storage Disease type IV (GSD IV)	adult polyglucosan body disease | adult polyglucosan body neuropathy			@APBDRF
2	2	Creatine transporter deficiency	MONDO:0010305		Cerebral Creatine Deficiency Syndromes which are made up of three rare diseases: (1) Creatine Transporter Deficiency (CTD),  (2) Guanidinoacetate Methyltransferase Deficiency (GAMT), and (3) L-Arginine: Glycine Amidinotransferase Deficiency(AGAT).	creatine transporter deficiency | guanidinoacetate methyltransferase deficiency | AGAT deficiency | cerebral creatine deficiency syndrome 1 | X-linked creatine deficiency syndrome | Cerebral Creatine Deficiency Syndromes | creatine transporter defect | SLC6A8 deficiency | X-linked creatine transporter deficiency | X-linked creatine deficiency | X-linked creatine deficiency syndrome | guanidinoacetate methyltransferase deficiency | guanidinoacetate N-methyltransferase activity disease | GAMT deficiency | glycine amidinotransferase activity disease | arginine:glycine amidinotransferase deficiency | AGAT deficiency | GATM deficiency			@CreatineInfo
3	2	AGAT deficiency	MONDO:0012996			GATM deficiency | "AGAT deficiency" | "arginine:glycine amidinotransferase deficiency" | "L-arginine:glycine amidinotransferase deficiency"			
4	2	Guanidinoacetate methyltransferase deficiency	MONDO:0012999			guanidinoacetate methyltransferase deficiency | "GAMT deficiency"			
5	3	CLOVES Syndrome	MONDO:0013038		CLOVES Syndrome & PIK3CA Related Overgrowth Spectrum (PROS)	CLOVES syndrome | (congenital lipomatous overgrowth) & (vascular malformation epidermal) & (nevi-spinal) & syndrome | (congenital lipomatous overgrowth) & (vascular malformations) & (Epidermal nevi) & ((skeletal|spinal) & abnormalities) | CLOVE syndrome | (congenital lipomatous overgrowth) & (vascular malformation) & (epidermal nevi) 		PIK3CA Related Overgrowth Spectrum (PROS) not found in MONDO. GARD:12182 (https://rarediseases.info.nih.gov/diseases/12182/pik3ca-related-overgrowth-spectrum)	@CLOVESSyndrome
6	3	Fibroadipose hyperplasia or Overgrowth	MONDO:0017812			Fibroadipose overgrowth | "Fibroadipose hyperplasia"		PIK3CA Related Overgrowth Spectrum (PROS) not found in MONDO. GARD:12182 (https://rarediseases.info.nih.gov/diseases/12182/pik3ca-related-overgrowth-spectrum)	@CLOVESSyndrome
7	3	Hemihyperplasia Multiple Lipomatosis	MONDO:0017177			Hemihyperplasia Multiple Lipomatosis		PIK3CA Related Overgrowth Spectrum (PROS) not found in MONDO. GARD:12182 (https://rarediseases.info.nih.gov/diseases/12182/pik3ca-related-overgrowth-spectrum)	@CLOVESSyndrome
8	3	Macrodactyly	MONDO:0007962			Macrodactyly		PIK3CA Related Overgrowth Spectrum (PROS) not found in MONDO. GARD:12182 (https://rarediseases.info.nih.gov/diseases/12182/pik3ca-related-overgrowth-spectrum)	@CLOVESSyndrome
10	3	Megalencephaly-Capillary Malformation	MONDO:0011240			Megalencephaly-Capillary Malformation		PIK3CA Related Overgrowth Spectrum (PROS) not found in MONDO. GARD:12182 (https://rarediseases.info.nih.gov/diseases/12182/pik3ca-related-overgrowth-spectrum)	@CLOVESSyndrome
11	4	Congenital Hyperinsulinism	MONDO:0017182		congenital hyperinsulinism	Congenital Hyperinsulinism | familial hyperinsulinism | Neonatal hyperinsulinism | hyperinsulinemic hypoglycemia | Nesidioblastosis | hyperinsulinemia of infancy | hereditary hyperinsulinism | congenital hyperinsulinism | familial hyperinsulinemic hypoglycemia | Hyperinsulinism Hyperammonemia Syndrome | ""Glucokinase Hyperinsulinism"			@congenitalhi
12	5	Chronic Recurrent Multifocal Osteomyelitis	MONDO:0009813		Chronic Recurrent Multifocal Osteomyelitis (CRMO), also known as Chronic Nonbacterial Osteomyelitis (CNO)	Chronic Recurrent Multifocal Osteomyelitis | chronic non-bacterial osteomyelitis | chronic recurrent multifocal osteomyelitis | chronic multifocal osteomyelitis | chronic nonbacterial osteomyelitis			@crmofoundation
13	6	Congenital Muscular Dystrophy	MONDO:0019950		congenital muscular dystrophy	congenital muscular dystrophy | congenital MD | Bethlem myopathy | scleroatonic muscular dystrophy  | Ullrich scleroatonic muscular dystrophy | scleroatonic Ullrich disease | Rigid spine syndrome | Walker-Warburg Syndrome 			@CureCMD
14	6	Muscle-eye-brain disease	MONDO:0018939			Muscle-eye-brain disease | Santavuori congenital muscular dystrophy			
15	6	Limb-girdle muscular dystrophy	MONDO:0016971			("Leyden-Mobius" & muscular dystrophy)  			
16	7	Hereditary Hemorrhagic Telangiectasia	MONDO:0019180		Hereditary Hemorrhagic Telangiectasia  also known as Osler Weber Rendu Syndrome  or Rendu Osler Weber	hereditary hemorrhagic telangiectasia | Osler-Weber-Rendu disease | Rendu-Osler-Weber disease | Osler hemorrhagic telangiectasia syndrome | ( telangiectasia & hereditary hemorrhagic) | Rendu-Osler disease			@curehht
17	8	Landau-Kleffner syndrome	MONDO:0009509			Landau-Kleffner syndrome			
18	8	intellectual disability, autosomal dominant 8	MONDO:0013655			GRIN1 Mutation | acquired epileptiform aphasia | acquired epileptic aphasia |  Rolandic epilepsy | acquired aphasia with epilepsy		Google search reveals the GRIN foundation as one of the main links for the disease	@CureGrin
19	8	Developmental and epileptic encephalopathy, 27	MONDO:0014505			("epileptic encephalopathy" &  GRIN2B) | ("epileptic encephalopathy" & "early infantile" & 27)			
20	8	Intellectual disability, autosomal dominant 6	MONDO:0013509			(GRIN2B  & "autosomal dominant" & ("intellectual disability" | "mental retardation"))			
21	8	Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation	MONDO:0017325			("Early-onset epileptic encephalopathy" | "intellectual disability") & GRIN2A & (mutation | mutate)			
22	8	Developmental and epileptic encephalopathy, 46	MONDO:0014947			("epileptic encephalopathy" & GRIN2D) | ("epileptic encephalopathy" & "early infantile" & 46)			
23	8	GRIA Disorder			MONDO does not have a general term for GRIA disorders	(GRIA1 | GRIA2 | GRIA3 | GRIA4) & (disorders | patient | disease)			
24	8	GRID Disorder			MONDO does not have a general term for GRID disorders	(GRID1 | GRID2) & (disorders | patient | disease)			
25	8	GRIK Disorder			MONDO does not have a general term for GRIK disorders	(GRIK1 | GRIK2 | GRIK3 | GRIK4 | GRIK5) & (disorders | patient | disease)			
26	8	GRIN Disorder			MONDO does not have a general term for GRIN  disorders	(GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D | GRIN3A | GRIN3B) & (disorders | patient | disease)			
27	9	Deficiency of Adenosine Deaminase 2	MONDO:0013028	x	Deficiency of Adenosine Deaminase 2 or DADA2	adenosine monophosphate deaminase deficiency|AMP deaminase deficiency | myoadenylate deaminase deficiency			@dada2foundation
28	10	DDX3X Syndrome	MONDO:0010497	x	DDX3X Syndrome	DDX3X-related intellectual disability | DDX3X non-syndromic X-linked intellectual disability |  (DDX3X & intellectual disability)	MRX102		@ddx3x
29	11	Fibrolamellar hepatocellular carcinoma	MONDO:0006210			fibrolamellar hepatocellular carcinoma|oncocytic hepatocellular tumor | liver cell fibrolamellar carcinoma | polygonal cell type hepatocellular carcinoma with fibrous Stroma | fibrolamellar cancer | (hepatocellular carcinoma & fibrolamellar) | hepatocellular carcinoma with increased stromal fibrosis | hepatocellular fibrolamellar carcinoma | fibrolamellar carcinoma | fibrolamellar variant of hepatocellular carcinoma | eosinophilic hepatocellular carcinoma with lamellar fibrosis | polygonal cell hepatocellular carcinoma with fibrous stroma | FL-HCC | fibrolamellar oncocytic hepatoma | eosinophilic glassy cell hepatoma | fibrolamellar hepatocarcinoma | fibrolamellar hepatocellular carcinoma | fibrolamellar carcinoma of liver cells | fibrolamellar carcinoma of the liver cells			@FibroFoundation
30	12	Glut1 Deficiency	MONDO:0000188	x	Glut1 Deficiency also known as Glut1 DS, G1D, glucose transporter type 1 deficiency syndrome, or De Vivo Disease	GLUT1 deficiency syndrome | GLUT1 deficient | "De Vivo disease"			@G1DFoundation
31	13	Hermansky-Pudlak Syndrome	MONDO:0019312		Hermansky-Pudlak Syndrome	Hermansky-Pudlak syndrome | Kotzot-Richter syndrome			@HPSNetwork
32	14	neurodegeneration with brain iron accumulation 2A	MONDO:0024457	x	Infantile Neuroaxonal Dystrophy	infantile neuroaxonal dystrophy | Seitelberger disease | phospholipase A2-associated neurodegeneration | KARAK syndrome	INAD1 | inaD	Need to submit Complex lymphatic anomalies (CLA)  + generalized lymphatic anomaly (GLA) to MONDO curation team	@INADcure
33	15	KAT6A Syndrome	MONDO:0014558		KAT6A Syndrome	autosomal dominant mental retardation 32 | KAT6A & (syndrome | mental retardation) | Arboleda-Tham  	MRD32|KAT6A	Previoulsy omitted since there was not a well defined synonym. Not listed in MONDO, NORD:https://rarediseases.org/rare-diseases/kat6a-syndrome/	@KAT6Afoundation
