ID	Name	Disease	Status	Founding_Year
0	No Organization Specified			
1	APBD Research Foundation	Adult Polyglucosan Body Disease (APBD), also called Glycogen Storage Disease type IV (GSD IV)	Cycle 1 Grantee	2005
2	Association for Creatine Deficiencies	Cerebral Creatine Deficiency Syndromes which are made up of three rare diseases: (1) Creatine Transporter Deficiency (CTD),  (2) Guanidinoacetate Methyltransferase Deficiency (GAMT), and (3) L-Arginine: Glycine Amidinotransferase Deficiency(AGAT).	Cycle 1 Grantee	2012
3	CLOVES Syndrome Community	CLOVES Syndrome & PIK3CA Related Overgrowth Spectrum (PROS)	Cycle 1 Grantee	2009
4	Congenital Hyperinsulinism International (CHI)	congenital hyperinsulinism	Cycle 1 Grantee	2005
5	CRMO Foundation	Chronic Recurrent Multifocal Osteomyelitis (CRMO), also known as Chronic Nonbacterial Osteomyelitis (CNO)	Cycle 1 Grantee	2018
6	Cure CMD	congenital muscular dystrophy	Cycle 1 Grantee	2008
7	Cure HHT	Hereditary Hemorrhagic Telangiectasia  also known as Osler Weber Rendu Syndrome  or Rendu Osler Weber	Cycle 1 Grantee	1991
8	CureGRIN Foundation	GRIN Disorder, GRIN Gene Mutation, GRIN gene variants in GRIN1, GRIN2A, GRIN2B, GRIN2D	Cycle 1 Grantee	2019
9	DADA2 Foundation	Deficiency of Adenosine Deaminase 2 or DADA2	Cycle 1 Grantee	2016
10	DDX3X Foundation	DDX3X Syndrome	Cycle 1 Grantee	2016
11	Fibrolamellar Cancer Foundation	Fibrolamellar carcinoma (FLC), a rare, aggressive liver cancer, occurs predominantly in otherwise healthy adolescents and young adults (AYA) 12 to 34 years of age. Patients generally are unaware of the tumor until it has grown large, causing pain and other symptoms. Diagnosis includes imaging and biopsy; FLC has a characteristic histology with fibrotic bands. Many physicians are unfamiliar with FLC (estimated <500 new USA cases annually). Thus, to patients the cancer appears both mysterious and threatening. Surgery remains the only effective treatment for FLC, but only two-thirds of new patients have operable primary tumors and most have widespread metastatic disease. Repeated aggressive surgery, including removal of local lymph nodes and distant metastases, is often used as a last resort despite extensive scarring and discomfort. Sadly, the majority of patients relapse within a year. Local radiation and available systemic therapies appear largely ineffective. There is no oncological standard of care. In consequence FLC has an exceptionally low five-year survival rate. On average the disease robs its victims of more than 50 years of expected life. The impact on quality of life is devastating. Without prior warning, young people – focused on school, first jobs, new marriages, children – face a maelstrom of uncertainty and, too often, a bitterly unfavorable prognosis. AYA patients and their families are especially vulnerable to the attendant mental, physical, and spiritual challenges. A Compassionate Allowance designation for FLC secured by our Foundation from the Social Security Administration allays some financial burdens, but not the enormous human cost.	Cycle 1 Grantee	2009
12	Glut1 Deficiency Foundation	Glut1 Deficiency also known as Glut1 DS, G1D, glucose transporter type 1 deficiency syndrome, or De Vivo Disease	Cycle 1 Grantee	2011
13	Hermansky-Pudlak Syndrome Network	Hermansky-Pudlak Syndrome	Cycle 1 Grantee	1995
14	INADcure Foundation	Infantile Neuroaxonal Dystrophy	Cycle 1 Grantee	2017
15	KAT6A Foundation	KAT6A Syndrome	Cycle 1 Grantee	2017
16	KIF1A.ORG, Inc.	KIF1A Associated Neurological Disorder (KAND)	Cycle 1 Grantee	2016
17	Lennox-Gastaut Syndrome (LGS) Foundation	Lennox-Gastaut Syndrome (LGS)	Cycle 1 Grantee	2008
18	Li-Fraumeni Syndrome Association	Li-Fraumeni Syndrome	Cycle 1 Grantee	2014
19	Lymphangiomatosis & Gorham's Disease Alliance, Inc. (LGDA)	Complex lymphatic anomalies (CLA's): Gorham-Stout disease (GSD), generalized lymphatic anomaly (GLA) (formerly known as lymphangiomatosis), and kaposiform lymphangiomatosis (KLA)	Cycle 1 Grantee	2007
20	NEC Society	Necrotizing enterocolitis	Cycle 1 Grantee	2014
21	Project 8P	Our foundation is based on the ultra rare chromosome 8p deletion and/or duplication. There is no named syndrome. We are also spearheading a Commission for novel technologies for neurodevelopmental copy number variants (where there are large chromosomal deletions and or duplications with similar neurological symptoms, rare, and would benefit from research network)	Cycle 1 Grantee	2018
22	PSC Partners Seeking a Cure	Primary sclerosing cholangitis (PSC); most common co-morbidities are inflammatory bowel disease (mostly ulcerative colitis [UC] and autoimmune hepatitis [AIH])	Cycle 1 Grantee	2004
23	Systemic JIA Foundation	SJIA (Systemic Juvenile Idiopathic Arthritis) with a focus on SJIA-PAP (SJIA Lung Disease)	Cycle 1 Grantee	2017
24	TANGO2 Research Foundation	TANGO2-Related Metabolic Encephalopathy and Arrhythmias	Cycle 1 Grantee	2017
25	TESS Research Foundation	SLC13A5 Deficiency Citrate Transporter Disorder Early Infantile Epileptic Encephalopathy 25  Kohlschütter-Tönz syndrome (non-ROGDI)  GARD: 12901 OMIM: 608305	Cycle 1 Grantee	2015
26	The Champ Foundation	Pearson Syndrome; mitochondrial DNA (mtDNA) deletion disorders	Cycle 1 Grantee	2015
27	The EHE Foundation	Epithelioid Hemangioendothelioma	Cycle 1 Grantee	2015
28	The Snyder-Robinson Foundation	Snyder-Robinson Syndrome (SRS)	Cycle 1 Grantee	2014
29	The Yaya Foundation for 4H Leukodystrophy	4H Leukodystrophy (also known as POLR3-Related Leukodystrophy). Although the Yaya Foundation is applying to lead the formation of a Collaborative Research Network focused specifically on 4H Leukodystrophy, we would also be prepared to lead the formation of a Collaborative Research Network focused more broadly on the group of closely related rare diseases known as Hypomyelinating Leukodystrophies, of which 4H Leukodystrophy is the most common type.	Cycle 1 Grantee	2018
30	Usher 1F Collaborative	Usher Syndrome type 1F	Cycle 1 Grantee	2013
31	A Cure for Ellie	Leukoencephalopathy with Brain Stem and Spinal Cord Involvement and Lactate Elevation (LBSL). LBSL is caused by an abnormal variant (mutation) in the DARS2 gene.	Cycle 2 Grantee	2013
32	A Foundation Building Strength	Nemaline Myopathy	Cycle 2 Grantee	2008
33	Alliance to Cure Cavernous Malformation	Cerebral cavernous malformation, also known as cavernoma or cavernous angioma	Cycle 2 Grantee	2002
34	CACNA1A Foundation, Inc.	CACNA1A-related disorders	Cycle 2 Grantee	2020
35	Chelsea’s Hope Lafora Children Research Fund	Lafora Disease: autosomal recessive, childhood dementia, and progressive myoclonus epilepsy	Cycle 2 Grantee	2010
36	Cure VCP Disease, Inc.	VCP disease is an adult-onset, autosomal dominant, genetic disease caused by a mutation in the VCP gene. The original clinical name of VCP disease is IBMPFD, which identifies the three primary phenotypes originally associated with VCP:  Inclusion Body Myopathy (IBM), Paget's disease of bone (P), and frontotemporal dementia (FTD). In 2019, clinicians and researchers began categorizing this disease as multisystem proteinopathy (MSP-1) because it is a protein disorder that affects multiple body systems. Other phenotypes associated with the presence of a VCP variant are amyotrophic lateral sclerosis (ALS), Charcot-Marie-Tooth disease (CMT), Parkinsonism, cataracts, and cardiomyopathy.  VCP disease is multisystem and not mutually exclusive to one system; therefore, a VCP patient may have one, two, or any combination of these disparate conditions.   (For the purpose of this application, “VCP disease” will be used to refer to the rare disease represented by Cure VCP Disease, Inc. )	Cycle 2 Grantee	2018
37	FamilieSCN2A Foundation	SCN2A -related disorders, SCN2A DEE, SCN2A - related epilepsy, SCN2A-related autism	Cycle 2 Grantee	2015
38	Foundation for Sarcoidosis Research	Sarcoidosis	Cycle 2 Grantee	2000
39	Mission: Cure	Hereditary pancreatitis (recurrent acute and chronic)	Cycle 2 Grantee	2017
40	PACS1 Syndrome Research Foundation	PACS1 syndrome (also known as Schuurs-Hoeijmakers Syndrome)	Cycle 2 Grantee	2017
41	PCD Foundation	primary ciliary dyskinesia, Kartagener syndrome, motile ciliopathies	Cycle 2 Grantee	2001
42	Progressive Familial Intrahepatic Cholestasis Advocacy and Resource Network, Inc.	Progressive Familial Intrahepatic Cholestasis (PFIC)	Cycle 2 Grantee	2018
43	Raymond A. Wood Foundation	Craniopharyngioma	Cycle 2 Grantee	2017
44	Recurrent Respiratory Papillomatosis Foundation	Recurrent Respiratory Papillomatosis, laryngeal papillomatosis, glottal papillomatosis, tracheal papillomatosis, pulmonary spread of RRP, HPV 6, HPV 11, JORRP, AORRP, Squamous Cell Carcinoma arising from pulmonary recurrent respiratory papillomatosis	Cycle 2 Grantee	1992
45	Shwachman-Diamond Syndrome Alliance Inc	Shwachman-Diamond Syndrome (SDS)	Cycle 2 Grantee	2020
46	Smith-Kingsmore Syndrome Foundation	Smith-Kingsmore syndrome (SKS), which is caused by mutations in the MTOR gene (mechanistic target of rapamycin, formerly called mammalian target of rapamycin), found at chromosome location 1p36.	Cycle 2 Grantee	2019
47	Tatton Brown Rahman Syndrome Community Inc.	Tatton Brown Rahman Syndrome (TBRS) - Also referred to as DNMT3A Overgrowth Syndrome	Cycle 2 Grantee	2017
48	TBCK Foundation	The TBCK Foundation supports TBCK Syndrome, which is a very rare neuro-genetic disease.	Cycle 2 Grantee	2019
49	Team Telomere	Dyskeratosis congenita (DC) and telomere biology disorders (TBD)	Cycle 2 Grantee	2008
50	The Stiff Person Syndrome Research Foundation, Inc	Stiff Person Syndrome (SPS)	Cycle 2 Grantee	2019
51	PCH-Familie e. V.	???	???	???
