doi	paper_type	citation	is_methods_paper	explanation
doi:10.1111/ejn.16260	ScientificPrimaryResearchArticle	Murtala Bindawa Isah et al. (2024) Setting up a state‐of‐the‐art laboratory in resource limited settings: A case study of the biomedical science research and training centre in Northeast Nigeria	False	The main goal of the paper is to describe the establishment of the Biomedical Science Research and Training Centre in Northeast Nigeria, detailing how it was set up and the strategies used to overcome challenges. The focus is on fostering research, training African scientists, and advancing neuroscience research in the region, rather than developing new technology or methods.
doi:10.1101/2024.01.31.578106	ScientificPrimaryResearchPreprint	Jennings CM, Markel AC, Domingo MJ, Miller KS, Bayer CL, Parekh SH. (2024) Collagen organization and structure in<i>FLBN5</i><sup>-/-</sup>, mice using label-free microscopy: implications for pelvic organ prolapse	False	The main goal of the work is to investigate collagen organization and structure in fibulin-5 knockout mice with implications for pelvic organ prolapse. The methods used are described later in the abstract to achieve this goal.
doi:10.1101/2024.01.17.575985	ScientificPrimaryResearchPreprint	Hoffmann PC, Kim H, Obarska-Kosinska A, Kreysing JP, Andino-Frydman E, Cruz-Leon S, Cernikova L, Kosinski J, Turoňová B, Hummer G, Beck M. (2024) Nuclear pores as conduits for fluid flow during osmotic stress	False	The main goal of the paper is to investigate how biological systems work, specifically focusing on the role of nuclear pores in facilitating fluid flow during osmotic stress. The methods used in the study involve quantifying flow across nuclear pores and conceptualizing the phenomenon as porous flow across nuclear pores, rather than developing new technology or methods.
doi:10.1038/s41467-023-44045-w	ScientificPrimaryResearchArticle	Tegtmeyer M, Arora J, Asgari S, Cimini BA, Nadig A, Peirent E, Liyanage D, Way GP, Weisbart E, Nathan A, Amariuta T, Eggan K, Haghighi M, McCarroll SA, O'Connor L, Carpenter AE, Singh S, Nehme R, Raychaudhuri S. (2024) High-dimensional phenotyping to define the genetic basis of cellular morphology.	False	The main goal of the paper is to investigate how genetic variation impacts cell morphology, providing insight into the relationship between genetic variants and cellular function. The study uses genomic sequencing and high-content imaging approaches to analyze the genetic basis of cellular morphology.
doi:10.1101/2023.10.25.23297129	ScientificPrimaryResearchPreprint	Dofash LN, Miles LB, Saito Y, Rivas E, Calcinotto V, Oveissi S, Serrano RJ, Templin R, Ramm G, Rodger A, Haywood J, Ingley E, Clayton JS, Taylor RL, Folland CL, Groth D, Hock DH, Stroud DA, Gorokhova S, Donkervoort S, Bönnemann CG, Sud M, VanNoy G, Mangilog BE, Pais L, Madruga-Garrido M, Scala M, Fiorillo C, Baratto S, Traverso M, Bruno C, Zara F, Paradas C, Ogata K, Nishino I, Laing NG, Bryson-Richardson RJ, Cabrera-Serrano M, Ravenscroft G. (2023) Biallelic variants in<i>HMGCS1</i>are a novel cause of rare rigid spine syndrome	False	The main goal of the work is to investigate the genetic basis of rigid spine syndrome and identify biallelic variants in HMGCS1 as a novel cause, rather than developing new technology or methods.
doi:10.21203/rs.3.rs-3385750/v1	ScientificPrimaryResearchPreprint	Liiv M, Vaarmann A, Kuum M, Gupta-Blixt R, Janickova L, Hodurova Z, Cagalinec M, Zeb A, Choubey V, Hickey MA, Safiulina D, Yi-Long H, Gogichaisvili N, Mandel M, Plaas M, Vasar E, Loncke J, Vervliet T, Tsai T, Bultynck G, Veksler V, Kaasik A. (2023) ER Calcium Depletion as a Key Driver for Impaired ER-to-Mitochondria Calcium Transfer and Mitochondrial Dysfunction in Wolfram Syndrome	False	The main goal of the paper is to investigate how ER calcium depletion in Wolfram syndrome leads to impaired ER-to-mitochondria calcium transfer and mitochondrial dysfunction, and to identify pharmacological targets that could ameliorate these effects.
doi:10.1038/s41467-023-41709-5	ScientificPrimaryResearchArticle	Mangiarotti A, Siri M, Tam NW, Zhao Z, Malacrida L, Dimova R. (2023) Biomolecular condensates modulate membrane lipid packing and hydration.	False	The main goal of the paper is investigating how biological systems work, specifically focusing on the interaction between biomolecular condensates and lipid membranes using experimental techniques.
doi:10.1038/s41598-023-40130-8	ScientificPrimaryResearchArticle	Buchanan E, Mahony C, Bam S, Jaffer M, Macleod S, Mangali A, van der Watt M, de Wet S, Theart R, Jacobs C, Loos B, O'Ryan C. (2023) Propionic acid induces alterations in mitochondrial morphology and dynamics in SH-SY5Y cells.	False	The main goal of the paper is to investigate how propionic acid influences mitochondrial morphology and dynamics in neuronal-like cells, rather than developing new technology or methods. The scientists used visualization techniques to study these effects.
doi:10.3389/fimmu.2023.1250350	ScientificReviewArticle	Garcia MJ, Amarelle L, Malacrida L, Briva A. (2023) Novel opportunities from bioimaging to understand the trafficking and maturation of intracellular pulmonary surfactant and its role in lung diseases.	False	The main goal of the paper is to investigate the trafficking and maturation of intracellular pulmonary surfactant and its role in lung diseases, rather than developing new technology or methods.
doi:10.1101/2023.08.08.552343	ScientificPrimaryResearchPreprint	Ghosh S, Sharma R, Bammidi S, Koontz V, Nemani M, Yazdankhah M, Kedziora KM, Wallace CT, Yu-Wei C, Franks J, Bose D, Rajasundaram D, Hose S, Sahel J, Puertollano R, Finkel T, Zigler JS, Sergeev Y, Watkins SC, Goetzman ES, Flores-Bellver M, Kaarniranta K, Sodhi A, Bharti K, Handa JT, Sinha D. (2023) The AKT2/SIRT5/TFEB pathway as a potential therapeutic target in atrophic AMD	False	The main goal of the paper is to investigate how the AKT2/SIRT5/TFEB pathway is involved in atrophic AMD, rather than to develop new technology or methods. The study aims to understand the biological mechanisms underlying the disease and explore the potential therapeutic target.
