Key	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body																																																																																						
2FYDLCGI	journalArticle	2014	Han, Peidong; Zhou, Xiao-Hai; Chang, Nannan; Xiao, Cheng-Lu; Yan, Shouyu; Ren, He; Yang, Xin-Zhuang; Zhang, Mei-Ling; Wu, Qing; Tang, Boyang; Diao, Ju-Peng; Zhu, Xiaojun; Zhang, Chuanmao; Li, Chuan-Yun; Cheng, Heping; Xiong, Jing-Wei	Hydrogen peroxide primes heart regeneration with a derepression mechanism	Cell Research		1748-7838	10.1038/cr.2014.108		While the adult human heart has very limited regenerative potential, the adult zebrafish heart can fully regenerate after 20% ventricular resection. Although previous reports suggest that developmental signaling pathways such as FGF and PDGF are reused in adult heart regeneration, the underlying intracellular mechanisms remain largely unknown. Here we show that H2O2 acts as a novel epicardial and myocardial signal to prime the heart for regeneration in adult zebrafish. Live imaging of intact hearts revealed highly localized H2O2 (~30 μM) production in the epicardium and adjacent compact myocardium at the resection site. Decreasing H2O2 formation with the Duox inhibitors diphenyleneiodonium (DPI) or apocynin, or scavenging H2O2 by catalase overexpression markedly impaired cardiac regeneration while exogenous H2O2 rescued the inhibitory effects of DPI on cardiac regeneration, indicating that H2O2 is an essential and sufficient signal in this process. Mechanistically, elevated H2O2 destabilized the redox-sensitive phosphatase Dusp6 and hence increased the phosphorylation of Erk1/2. The Dusp6 inhibitor BCI achieved similar pro-regenerative effects while transgenic overexpression of dusp6 impaired cardiac regeneration. H2O2 plays a dual role in recruiting immune cells and promoting heart regeneration through two relatively independent pathways. We conclude that H2O2 potentially generated from Duox/Nox2 promotes heart regeneration in zebrafish by unleashing MAP kinase signaling through a derepression mechanism involving Dusp6.	2014-09	2024-03-06 19:49:29	2024-03-06T19:49:29Z		1091-1107		9	24		Cell Res								eng					PubMed		PMID: 25124925 PMCID: PMC4152734					Animals; Extracellular Signal-Regulated MAP Kinases; Heart; Hydrogen Peroxide; In Vitro Techniques; Leukocytes; Models, Biological; Myocardium; Proteasome Endopeptidase Complex; Proteolysis; Regeneration; Repressor Proteins; Signal Transduction; Ubiquitination; Zebrafish; Zebrafish Proteins																																																																																																																																				
8RZKQRRU	journalArticle	2014	Marín-Juez, Rubén; Jong-Raadsen, Susanne; Yang, Shuxin; Spaink, Herman P.	Hyperinsulinemia induces insulin resistance and immune suppression via Ptpn6/Shp1 in zebrafish	The Journal of Endocrinology		1479-6805	10.1530/JOE-14-0178		Type 2 diabetes, obesity, and metabolic syndrome are pathologies where insulin resistance plays a central role, and that affect a large population worldwide. These pathologies are usually associated with a dysregulation of insulin secretion leading to a chronic exposure of the tissues to high insulin levels (i.e. hyperinsulinemia), which diminishes the concentration of key downstream elements, causing insulin resistance. The complexity of the study of insulin resistance arises from the heterogeneity of the metabolic states where it is observed. To contribute to the understanding of the mechanisms triggering insulin resistance, we have developed a zebrafish model to study insulin metabolism and its associated disorders. Zebrafish larvae appeared to be sensitive to human recombinant insulin, becoming insulin-resistant when exposed to a high dose of the hormone. Moreover RNA-seq-based transcriptomic profiling of these larvae revealed a strong downregulation of a number of immune-relevant genes as a consequence of the exposure to hyperinsulinemia. Interestingly, as an exception, the negative immune modulator protein tyrosine phosphatase nonreceptor type 6 (ptpn6) appeared to be upregulated in insulin-resistant larvae. Knockdown of ptpn6 was found to counteract the observed downregulation of the immune system and insulin signaling pathway caused by hyperinsulinemia. These results indicate that ptpn6 is a mediator of the metabolic switch between insulin-sensitive and insulin-resistant states. Our zebrafish model for hyperinsulinemia has therefore demonstrated its suitability for discovery of novel regulators of insulin resistance. In addition, our data will be very useful in further studies of the function of immunological determinants in a non-obese model system.	2014-08	2024-03-06 19:49:29	2024-03-06T19:49:29Z		229-241		2	222		J Endocrinol								eng					PubMed		PMID: 24904114					Animals; Disease Models, Animal; Gene Knockdown Techniques; Humans; Hyperinsulinism; Immunity; Insulin; Insulin Resistance; Larva; Leptin; Protein Tyrosine Phosphatase, Non-Receptor Type 6; Signal Transduction; Transcriptome; Up-Regulation; Zebrafish; hyperinsulinemia; immune suppression; insulin resistance; ptpn6; zebrafish																																																																																																																																				
CPWU52VI	journalArticle	2014	Benard, Erica L.; Roobol, Stefan J.; Spaink, Herman P.; Meijer, Annemarie H.	Phagocytosis of mycobacteria by zebrafish macrophages is dependent on the scavenger receptor Marco, a key control factor of pro-inflammatory signalling	Developmental and Comparative Immunology		1879-0089	10.1016/j.dci.2014.07.022		Scavenger receptors on the cell surface of macrophages play an important role in host defence through their ability to bind microbial ligands and induce phagocytosis. Concurrently, signal transduction pathways are initiated that aid in defence mechanisms against the invading microbe. Here we report on the function of scavenger receptor Marco (Macrophage receptor with collagenous structure) during infection of zebrafish embryos with Mycobacterium marinum, a close relative of M. tuberculosis. Morpholino knockdown demonstrates that Marco is required for the rapid phagocytosis of M. marinum following intravenous infection. Furthermore, gene expression analysis shows that Marco controls the initial transient pro-inflammatory response to M. marinum and remains a determining factor for the immune response signature at later stages of infection. Increased bacterial burden following marco knockdown indicates that this scavenger receptor is important for control of M. marinum growth, likely due to delayed phagocytosis and reduced pro-inflammatory signalling observed under conditions of Marco deficiency.	2014-12	2024-03-06 19:49:29	2024-03-06T19:49:29Z		223-233		2	47		Dev Comp Immunol								eng					PubMed		PMID: 25086293					Animals; Bacterial Load; Embryo, Nonmammalian; Gene Expression Regulation, Developmental; Immunity, Innate; Infection; Innate immunity; Macrophages; Marco; Morpholinos; Mycobacterium Infections, Nontuberculous; Mycobacterium marinum; Phagocytosis; Receptors, Scavenger; Scavenger receptor; Signal Transduction; Zebrafish																																																																																																																																				
E2XPRJPW	journalArticle	2014	Howarth, Deanna L.; Lindtner, Claudia; Vacaru, Ana M.; Sachidanandam, Ravi; Tsedensodnom, Orkhontuya; Vasilkova, Taisa; Buettner, Christoph; Sadler, Kirsten C.	Activating transcription factor 6 is necessary and sufficient for alcoholic fatty liver disease in zebrafish	PLoS genetics		1553-7404	10.1371/journal.pgen.1004335		Fatty liver disease (FLD) is characterized by lipid accumulation in hepatocytes and is accompanied by secretory pathway dysfunction, resulting in induction of the unfolded protein response (UPR). Activating transcription factor 6 (ATF6), one of three main UPR sensors, functions to both promote FLD during acute stress and reduce FLD during chronic stress. There is little mechanistic understanding of how ATF6, or any other UPR factor, regulates hepatic lipid metabolism to cause disease. We addressed this using zebrafish genetics and biochemical analyses and demonstrate that Atf6 is necessary and sufficient for FLD. atf6 transcription is significantly upregulated in the liver of zebrafish with alcoholic FLD and morpholino-mediated atf6 depletion significantly reduced steatosis incidence caused by alcohol. Moreover, overexpression of active, nuclear Atf6 (nAtf6) in hepatocytes caused FLD in the absence of stress. mRNA-Seq and qPCR analyses of livers from five day old nAtf6 transgenic larvae revealed upregulation of genes promoting glyceroneogenesis and fatty acid elongation, including fatty acid synthase (fasn), and nAtf6 overexpression in both zebrafish larvae and human hepatoma cells increased the incorporation of 14C-acetate into lipids. Srebp transcription factors are key regulators of lipogenic enzymes, but reducing Srebp activation by scap morpholino injection neither prevented FLD in nAtf6 transgenics nor synergized with atf6 knockdown to reduce alcohol-induced FLD. In contrast, fasn morpholino injection reduced FLD in nAtf6 transgenic larvae and synergistically interacted with atf6 to reduce alcoholic FLD. Thus, our data demonstrate that Atf6 is required for alcoholic FLD and epistatically interacts with fasn to cause this disease, suggesting triglyceride biogenesis as the mechanism of UPR induced FLD.	2014	2024-03-06 19:49:28	2024-03-06T19:49:28Z		e1004335		5	10		PLoS Genet								eng					PubMed		PMID: 24874946 PMCID: PMC4038464					Activating Transcription Factor 6; Animals; Animals, Genetically Modified; Carcinoma, Hepatocellular; Disease Models, Animal; Ethanol; Fatty Liver, Alcoholic; Hepatocytes; Humans; Lipid Metabolism; Liver; Liver Neoplasms; Transcriptional Activation; Zebrafish																																																																																																																																				
RYI6EAFJ	journalArticle	2014	Desvignes, Thomas; Beam, Michael J.; Batzel, Peter; Sydes, Jason; Postlethwait, John H.	Expanding the annotation of zebrafish microRNAs based on small RNA sequencing	Gene		1879-0038	10.1016/j.gene.2014.05.036		MicroRNAs (miRs) are short non-coding RNAs that fine-tune the regulation of gene expression to coordinate a wide range of biological processes. Because of their role in the regulation of gene expression, miRs are essential players in development by acting on cell fate determination and progression towards cell differentiation and are increasingly relevant to human health and disease. Although the zebrafish Danio rerio is a major model for studies of development, genetics, physiology, evolution, and human biology, the annotation of zebrafish miR-producing genes remains limited. In the present work, we report deep sequencing data of zebrafish small RNAs from brain, heart, testis, and ovary. Results provide evidence for the expression of 56 un-annotated mir genes and 248 un-annotated mature strands, increasing the number of zebrafish mir genes over those already deposited in miRBase by 16% and the number of mature sequences by 63%. We also describe the existence of three pairs of mirror-mir genes and two mirtron genes, genetic features previously undescribed in non-mammalian vertebrates. This report provides information that substantially increases our knowledge of the zebrafish miRNome and will benefit the entire miR community.	2014-08-10	2024-03-06 19:49:28	2024-03-06T19:49:28Z		386-389		2	546		Gene								eng					PubMed		PMID: 24835514 PMCID: PMC4130647					Animals; Databases, Nucleic Acid; Humans; MicroRNAs; Mirror-mir; Mirtron; Molecular Sequence Annotation; Sequence Analysis, RNA; Teleost; Zebrafish; miRNA; smallRNA-seq																																																																																																																																				
YLSAYEBD	journalArticle	2014	Jiang, Linjia; Romero-Carvajal, Andres; Haug, Jeff S.; Seidel, Christopher W.; Piotrowski, Tatjana	Gene-expression analysis of hair cell regeneration in the zebrafish lateral line	Proceedings of the National Academy of Sciences of the United States of America		1091-6490	10.1073/pnas.1402898111		Deafness caused by the terminal loss of inner ear hair cells is one of the most common sensory diseases. However, nonmammalian animals (e.g., birds, amphibians, and fish) regenerate damaged hair cells. To understand better the reasons underpinning such disparities in regeneration among vertebrates, we set out to define at high resolution the changes in gene expression associated with the regeneration of hair cells in the zebrafish lateral line. We performed RNA-Seq analyses on regenerating support cells purified by FACS. The resulting expression data were subjected to pathway enrichment analyses, and the differentially expressed genes were validated in vivo via whole-mount in situ hybridizations. We discovered that cell cycle regulators are expressed hours before the activation of Wnt/β-catenin signaling following hair cell death. We propose that Wnt/β-catenin signaling is not involved in regulating the onset of proliferation but governs proliferation at later stages of regeneration. In addition, and in marked contrast to mammals, our data clearly indicate that the Notch pathway is significantly down-regulated shortly after injury, thus uncovering a key difference between the zebrafish and mammalian responses to hair cell injury. Taken together, our findings lay the foundation for identifying differences in signaling pathway regulation that could be exploited as potential therapeutic targets to promote either sensory epithelium or hair cell regeneration in mammals.	2014-04-08	2024-03-06 19:49:28	2024-03-06T19:49:28Z		E1383-1392		14	111		Proc Natl Acad Sci U S A								eng					PubMed		PMID: 24706903 PMCID: PMC3986165					Animals; Animals, Genetically Modified; Flow Cytometry; Gene Expression Profiling; Genes, cdc; Hair Cells, Auditory; Jak/Stat3; Neomycin; Oligonucleotide Array Sequence Analysis; RNA sequencing; Receptors, Notch; Regeneration; Signal Transduction; Wnt Proteins; Zebrafish; beta Catenin; cdkn1b; neuromast; signaling pathway analysis																																																																																																																																				
2AQX9Q5J	journalArticle	2014	Zheng, Weiling; Li, Zhen; Nguyen, Anh Tuan; Li, Caixia; Emelyanov, Alexander; Gong, Zhiyuan	Xmrk, kras and myc transgenic zebrafish liver cancer models share molecular signatures with subsets of human hepatocellular carcinoma	PloS One		1932-6203	10.1371/journal.pone.0091179		Previously three oncogene transgenic zebrafish lines with inducible expression of xmrk, kras or Myc in the liver have been generated and these transgenic lines develop oncogene-addicted liver tumors upon chemical induction. In the current study, comparative transcriptomic approaches were used to examine the correlation of the three induced transgenic liver cancers with human liver cancers. RNA profiles from the three zebrafish tumors indicated relatively small overlaps of significantly deregulated genes and biological pathways. Nevertheless, the three transgenic tumor signatures all showed significant correlation with advanced or very advanced human hepatocellular carcinoma (HCC). Interestingly, molecular signature from each oncogene-induced zebrafish liver tumor correlated with only a small subset of human HCC samples (24-29%) and there were conserved up-regulated pathways between the zebrafish and correlated human HCC subgroup. The three zebrafish liver cancer models together represented nearly half (47.2%) of human HCCs while some human HCCs showed significant correlation with more than one signature defined from the three oncogene-addicted zebrafish tumors. In contrast, commonly deregulated genes (21 up and 16 down) in the three zebrafish tumor models generally showed accordant deregulation in the majority of human HCCs, suggesting that these genes might be more consistently deregulated in a broad range of human HCCs with different molecular mechanisms and thus serve as common diagnosis markers and therapeutic targets. Thus, these transgenic zebrafish models with well-defined oncogene-induced tumors are valuable tools for molecular classification of human HCCs and for understanding of molecular drivers in hepatocarcinogenesis in each human HCC subgroup.	2014	2024-03-06 19:49:28	2024-03-06T19:49:28Z		e91179		3	9		PLoS One								eng					PubMed		PMID: 24633177 PMCID: PMC3954698					Animals; Animals, Genetically Modified; Carcinoma, Hepatocellular; Gene Expression Regulation, Neoplastic; Genes, ras; Humans; Liver Neoplasms; Liver Neoplasms, Experimental; Proto-Oncogene Proteins c-myc; Receptor Protein-Tyrosine Kinases; Zebrafish																																																																																																																																				
BPQ5INN2	journalArticle	2014	Haberle, Vanja; Li, Nan; Hadzhiev, Yavor; Plessy, Charles; Previti, Christopher; Nepal, Chirag; Gehrig, Jochen; Dong, Xianjun; Akalin, Altuna; Suzuki, Ana Maria; van IJcken, Wilfred F. J.; Armant, Olivier; Ferg, Marco; Strähle, Uwe; Carninci, Piero; Müller, Ferenc; Lenhard, Boris	Two independent transcription initiation codes overlap on vertebrate core promoters	Nature		1476-4687	10.1038/nature12974		A core promoter is a stretch of DNA surrounding the transcription start site (TSS) that integrates regulatory inputs and recruits general transcription factors to initiate transcription. The nature and causative relationship of the DNA sequence and chromatin signals that govern the selection of most TSSs by RNA polymerase II remain unresolved. Maternal to zygotic transition represents the most marked change of the transcriptome repertoire in the vertebrate life cycle. Early embryonic development in zebrafish is characterized by a series of transcriptionally silent cell cycles regulated by inherited maternal gene products: zygotic genome activation commences at the tenth cell cycle, marking the mid-blastula transition. This transition provides a unique opportunity to study the rules of TSS selection and the hierarchy of events linking transcription initiation with key chromatin modifications. We analysed TSS usage during zebrafish early embryonic development at high resolution using cap analysis of gene expression, and determined the positions of H3K4me3-marked promoter-associated nucleosomes. Here we show that the transition from the maternal to zygotic transcriptome is characterized by a switch between two fundamentally different modes of defining transcription initiation, which drive the dynamic change of TSS usage and promoter shape. A maternal-specific TSS selection, which requires an A/T-rich (W-box) motif, is replaced with a zygotic TSS selection grammar characterized by broader patterns of dinucleotide enrichments, precisely aligned with the first downstream (+1) nucleosome. The developmental dynamics of the H3K4me3-marked nucleosomes reveal their DNA-sequence-associated positioning at promoters before zygotic transcription and subsequent transcription-independent adjustment to the final position downstream of the zygotic TSS. The two TSS-defining grammars coexist, often physically overlapping, in core promoters of constitutively expressed genes to enable their expression in the two regulatory environments. The dissection of overlapping core promoter determinants represents a framework for future studies of promoter structure and function across different regulatory contexts.	2014-03-20	2024-03-06 19:49:27	2024-03-06T19:49:27Z		381-385		7492	507		Nature								eng					PubMed		PMID: 24531765 PMCID: PMC4820030					Animals; Base Sequence; Embryo, Nonmammalian; Female; Gene Expression Regulation, Developmental; Histones; Methylation; Mothers; Nucleosomes; Promoter Regions, Genetic; Transcription Initiation Site; Transcription Initiation, Genetic; Transcriptome; Zebrafish; Zygote																																																																																																																																				
SCKLR39E	journalArticle	2014	Markmiller, Sebastian; Cloonan, Nicole; Lardelli, Rea M.; Doggett, Karen; Keightley, Maria-Cristina; Boglev, Yeliz; Trotter, Andrew J.; Ng, Annie Y.; Wilkins, Simon J.; Verkade, Heather; Ober, Elke A.; Field, Holly A.; Grimmond, Sean M.; Lieschke, Graham J.; Stainier, Didier Y. R.; Heath, Joan K.	Minor class splicing shapes the zebrafish transcriptome during development	Proceedings of the National Academy of Sciences of the United States of America		1091-6490	10.1073/pnas.1305536111		Minor class or U12-type splicing is a highly conserved process required to remove a minute fraction of introns from human pre-mRNAs. Defects in this splicing pathway have recently been linked to human disease, including a severe developmental disorder encompassing brain and skeletal abnormalities known as Taybi-Linder syndrome or microcephalic osteodysplastic primordial dwarfism 1, and a hereditary intestinal polyposis condition, Peutz-Jeghers syndrome. Although a key mechanism for regulating gene expression, the impact of impaired U12-type splicing on the transcriptome is unknown. Here, we describe a unique zebrafish mutant, caliban (clbn), with arrested development of the digestive organs caused by an ethylnitrosourea-induced recessive lethal point mutation in the rnpc3 [RNA-binding region (RNP1, RRM) containing 3] gene. rnpc3 encodes the zebrafish ortholog of human RNPC3, also known as the U11/U12 di-snRNP 65-kDa protein, a unique component of the U12-type spliceosome. The biochemical impact of the mutation in clbn is the formation of aberrant U11- and U12-containing small nuclear ribonucleoproteins that impair the efficiency of U12-type splicing. Using RNA sequencing and microarrays, we show that multiple genes involved in various steps of mRNA processing, including transcription, splicing, and nuclear export are disrupted in clbn, either through intron retention or differential gene expression. Thus, clbn provides a useful and specific model of aberrant U12-type splicing in vivo. Analysis of its transcriptome reveals efficient mRNA processing as a critical process for the growth and proliferation of cells during vertebrate development.	2014-02-25	2024-03-06 19:49:27	2024-03-06T19:49:27Z		3062-3067		8	111		Proc Natl Acad Sci U S A								eng					PubMed		PMID: 24516132 PMCID: PMC3939875					Animals; Base Sequence; Gene Expression Profiling; Gene Expression Regulation, Developmental; Intestines; Liver; Microarray Analysis; Molecular Sequence Data; Pancreas; Point Mutation; Protein Conformation; RNA Splicing; RNA, Small Nuclear; RNA-Binding Proteins; Real-Time Polymerase Chain Reaction; Sequence Analysis, RNA; Spliceosomes; Zebrafish; Zebrafish Proteins																																																																																																																																				
KPUBBAE6	journalArticle	2014	Mudbhary, Raksha; Hoshida, Yujin; Chernyavskaya, Yelena; Jacob, Vinitha; Villanueva, Augusto; Fiel, M. Isabel; Chen, Xintong; Kojima, Kensuke; Thung, Swan; Bronson, Roderick T.; Lachenmayer, Anja; Revill, Kate; Alsinet, Clara; Sachidanandam, Ravi; Desai, Anal; SenBanerjee, Sucharita; Ukomadu, Chinweike; Llovet, Josep M.; Sadler, Kirsten C.	UHRF1 overexpression drives DNA hypomethylation and hepatocellular carcinoma	Cancer Cell		1878-3686	10.1016/j.ccr.2014.01.003		Ubiquitin-like with PHD and RING finger domains 1 (UHRF1) is an essential regulator of DNA methylation that is highly expressed in many cancers. Here, we use transgenic zebrafish, cultured cells, and human tumors to demonstrate that UHRF1 is an oncogene. UHRF1 overexpression in zebrafish hepatocytes destabilizes and delocalizes Dnmt1 and causes DNA hypomethylation and Tp53-mediated senescence. Hepatocellular carcinoma (HCC) emerges when senescence is bypassed. tp53 mutation both alleviates senescence and accelerates tumor onset. Human HCCs recapitulate this paradigm, as UHRF1 overexpression defines a subclass of aggressive HCCs characterized by genomic instability, TP53 mutation, and abrogation of the TP53-mediated senescence program. We propose that UHRF1 overexpression is a mechanism underlying DNA hypomethylation in cancer cells and that senescence is a primary means of restricting tumorigenesis due to epigenetic disruption.	2014-02-10	2024-03-06 19:49:26	2024-03-06T19:49:26Z		196-209		2	25		Cancer Cell								eng					PubMed		PMID: 24486181 PMCID: PMC3951208					Animals; CCAAT-Enhancer-Binding Proteins; Carcinoma, Hepatocellular; Cells, Cultured; Cellular Senescence; Cohort Studies; Computational Biology; DNA Methylation; Hepatocytes; Humans; Immunoblotting; Liver; Liver Neoplasms; Mutation; Prognosis; Survival Rate; Tumor Suppressor Protein p53; Ubiquitin-Protein Ligases; Zebrafish																																																																																																																																				
